════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:20:05
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20118588 | Ana Laura Díaz Hernández            | Contaduría Pública        | Femenino   | Sem: 8 | Rayando-Ando
  A20141760 | Juan Carlos Mendoza Castillo        | Arquitectura              | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20096021 | Juan Carlos Mendoza Sánchez         | Administración de Empresas | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20224277 | Juan Carlos Ruiz Gutiérrez          | Administración de Empresas | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20158846 | Laura Patricia Álvarez García       | Psicología                | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20186694 | Laura Patricia Díaz Reyes           | Ingeniería Industrial     | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20124230 | Laura Patricia González Sánchez     | Ingeniería Industrial     | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20009964 | Laura Patricia Gutiérrez Gómez      | Psicología                | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20225965 | Laura Patricia Martínez Jiménez     | Psicología                | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20073806 | Laura Patricia Morales Rivera       | Administración de Empresas | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20063711 | Laura Patricia Ortiz Ramírez        | Administración de Empresas | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20143446 | Laura Patricia Pérez Cruz           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20207638 | Laura Patricia Ruiz Rivera          | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20141502 | Luis Miguel González Gutiérrez      | Arquitectura              | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20188993 | Luis Miguel González Pérez          | Contaduría Pública        | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20210412 | Luis Miguel Mendoza Castillo        | Arquitectura              | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20224828 | Luis Miguel Reyes Castillo          | Ingeniería Civil          | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20118255 | María Elena Castillo Pérez          | Contaduría Pública        | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20037574 | María Elena Flores Morales          | Derecho                   | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20097609 | María Elena García Reyes            | Diseño Gráfico            | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20026916 | María Elena Gutiérrez Díaz          | Arquitectura              | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20065846 | María Elena Hernández Torres        | Psicología                | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20075502 | María Elena Jiménez Reyes           | Psicología                | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20080961 | María Elena Mendoza Sánchez         | Arquitectura              | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20137377 | María Elena Morales Flores          | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20102937 | María Elena Sánchez Mendoza         | Diseño Gráfico            | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20112905 | Miguel Ángel Castillo Gutiérrez     | Administración de Empresas | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20001097 | Miguel Ángel Jiménez Ramírez        | Psicología                | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20215691 | Miguel Ángel Ortiz Jiménez          | Contaduría Pública        | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20069104 | Óscar David Álvarez Pérez           | Ingeniería Civil          | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20113666 | Óscar David Castillo Hernández      | Diseño Gráfico            | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20007438 | Óscar David Flores Ramírez          | Administración de Empresas | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20075747 | Óscar David García Hernández        | Psicología                | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20054269 | Óscar David Morales Álvarez         | Administración de Empresas | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20073061 | Óscar David Morales Torres          | Ingeniería Industrial     | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20086148 | Óscar David Ortiz Morales           | Derecho                   | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20185986 | Óscar David Reyes Cruz              | Ingeniería Civil          | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20007688 | Óscar David Rivera Sánchez          | Psicología                | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20042777 | Patricia Isabel Flores Ortiz        | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20236948 | Patricia Isabel Jiménez García      | Ingeniería Industrial     | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20049428 | Pedro Luis Álvarez Pérez            | Derecho                   | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20000461 | Pedro Luis Álvarez Torres           | Ingeniería Civil          | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20059161 | Pedro Luis Cruz Hernández           | Arquitectura              | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20026715 | Pedro Luis Flores Reyes             | Diseño Gráfico            | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20173777 | Pedro Luis Martínez Jiménez         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20084263 | Pedro Luis Reyes Cruz               | Diseño Gráfico            | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20042447 | Ricardo Iván Álvarez Cruz           | Ingeniería Industrial     | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20124179 | Ricardo Iván Castillo González      | Derecho                   | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20058659 | Ricardo Iván García González        | Derecho                   | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20089964 | Ricardo Iván Gómez Ortiz            | Diseño Gráfico            | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20058945 | Ricardo Iván González Álvarez       | Ingeniería Civil          | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20186309 | Ricardo Iván Gutiérrez Cruz         | Derecho                   | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20037525 | Ricardo Iván Pérez Rivera           | Psicología                | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20009068 | Roberto Carlos Castillo González    | Diseño Gráfico            | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20022644 | Roberto Carlos Díaz Martínez        | Derecho                   | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20128130 | Roberto Carlos Hernández López      | Arquitectura              | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20134536 | Rosa María Díaz Hernández           | Ingeniería Industrial     | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20150450 | Rosa María Mendoza Rodríguez        | Contaduría Pública        | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20088822 | Rosa María Reyes Ruiz               | Diseño Gráfico            | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20002185 | Rosa María Sánchez Álvarez          | Derecho                   | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20121776 | Sofía Valentina Gómez Mendoza       | Ingeniería Mecatrónica    | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20098673 | Sofía Valentina Gómez Reyes         | Diseño Gráfico            | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20150849 | Sofía Valentina Ortiz Rodríguez     | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20017899 | Sofía Valentina Pérez Castillo      | Psicología                | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20080962 | Sofía Valentina Reyes Rivera        | Psicología                | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20243935 | Sofía Valentina Torres Castillo     | Psicología                | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20240860 | Valentina Andrea Díaz Torres        | Administración de Empresas | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20186858 | Valentina Andrea López Ortiz        | Ingeniería Industrial     | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20148262 | Valentina Andrea Martínez Torres    | Arquitectura              | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20226736 | Valentina Andrea Ramírez López      | Contaduría Pública        | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20204669 | Valentina Andrea Reyes Morales      | Derecho                   | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20173118 | Valentina Andrea Reyes Rivera       | Ingeniería Civil          | Femenino   | Sem: 8 | Suavecito pa'bajo

════════════════════════════════════════════════════════════════════════════════════════════════════════════════
TOTAL DE PARTICIPANTES: 530
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


ESTADÍSTICAS GENERALES
════════════════════════════════════════════════════════════════════════════════════════════════════════════════

Participación por Género:
  Femenino: 255 (48.11%)
  Masculino: 275 (51.89%)

Participación por Carrera:
  Psicología: 60 (11.32%)
  Arquitectura: 60 (11.32%)
  Administración de Empresas: 59 (11.13%)
  Diseño Gráfico: 57 (10.75%)
  Ingeniería Civil: 57 (10.75%)
  Derecho: 49 (9.25%)
  Ingeniería Industrial: 48 (9.06%)
  Ingeniería Mecatrónica: 48 (9.06%)
  Ingeniería en Sistemas Computacionales: 47 (8.87%)
  Contaduría Pública: 45 (8.49%)
