════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:12:12
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20208528 | Ana Laura Díaz Jiménez              | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20176102 | Juan Carlos Rodríguez Ramírez       | Administración de Empresas | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20001683 | Juan Carlos Ruiz Pérez              | Arquitectura              | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20006411 | Laura Patricia Flores Gutiérrez     | Ingeniería Industrial     | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20142039 | Laura Patricia García González      | Arquitectura              | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20130111 | Laura Patricia Gómez Ramírez        | Psicología                | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20093997 | Laura Patricia Gutiérrez Mendoza    | Arquitectura              | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20245021 | Laura Patricia López Ortiz          | Administración de Empresas | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20027288 | Laura Patricia Pérez Gómez          | Derecho                   | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20198619 | Laura Patricia Rivera Sánchez       | Administración de Empresas | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20133375 | Laura Patricia Torres Díaz          | Ingeniería Industrial     | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20179703 | Luis Miguel Díaz García             | Ingeniería Mecatrónica    | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20197595 | Luis Miguel Gutiérrez Cruz          | Administración de Empresas | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20096991 | Luis Miguel López Cruz              | Contaduría Pública        | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20112333 | Luis Miguel Martínez Gutiérrez      | Ingeniería Civil          | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20186370 | Luis Miguel Ortiz Gómez             | Diseño Gráfico            | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20148196 | Luis Miguel Ortiz Gutiérrez         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20237460 | Luis Miguel Ortiz Jiménez           | Derecho                   | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20172418 | Luis Miguel Pérez Ruiz              | Ingeniería Industrial     | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20249093 | Luis Miguel Reyes Reyes             | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20094136 | Luis Miguel Ruiz Pérez              | Ingeniería Industrial     | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20076650 | María Elena Álvarez Martínez        | Contaduría Pública        | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20088000 | María Elena Gómez Jiménez           | Arquitectura              | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20245667 | María Elena López Ramírez           | Administración de Empresas | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20102115 | María Elena Morales Jiménez         | Administración de Empresas | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20202447 | María Elena Morales Ruiz            | Ingeniería Industrial     | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20190149 | María Elena Reyes Mendoza           | Ingeniería Civil          | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20128608 | María Elena Rodríguez López         | Psicología                | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20212143 | María Elena Sánchez López           | Administración de Empresas | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20136904 | Miguel Ángel López Sánchez          | Ingeniería Industrial     | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20123444 | Miguel Ángel Mendoza Gutiérrez      | Derecho                   | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20155150 | Miguel Ángel Morales Gutiérrez      | Derecho                   | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20042876 | Miguel Ángel Ramírez Mendoza        | Administración de Empresas | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20038298 | Miguel Ángel Reyes Rivera           | Diseño Gráfico            | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20204420 | Miguel Ángel Ruiz Cruz              | Psicología                | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20205118 | Miguel Ángel Sánchez Pérez          | Diseño Gráfico            | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20092226 | Óscar David Castillo Díaz           | Ingeniería Industrial     | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20189025 | Óscar David Jiménez Morales         | Diseño Gráfico            | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20052724 | Óscar David Rivera Torres           | Ingeniería Civil          | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20173070 | Patricia Isabel García Gómez        | Diseño Gráfico            | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20202623 | Patricia Isabel Jiménez García      | Arquitectura              | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20204817 | Patricia Isabel López Pérez         | Arquitectura              | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20208336 | Patricia Isabel Martínez Flores     | Ingeniería Civil          | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20240399 | Patricia Isabel Mendoza López       | Contaduría Pública        | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20098028 | Patricia Isabel Ramírez Díaz        | Ingeniería Industrial     | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20144745 | Pedro Luis Hernández Ramírez        | Arquitectura              | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20217110 | Pedro Luis Jiménez Gómez            | Contaduría Pública        | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20132765 | Pedro Luis López Sánchez            | Administración de Empresas | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20210492 | Pedro Luis Ramírez González         | Ingeniería Civil          | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20201944 | Ricardo Iván Cruz Cruz              | Arquitectura              | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20069129 | Ricardo Iván Mendoza García         | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20134840 | Ricardo Iván Reyes López            | Psicología                | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20021998 | Ricardo Iván Sánchez Castillo       | Administración de Empresas | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20245738 | Roberto Carlos Pérez Gutiérrez      | Derecho                   | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20145924 | Rosa María Álvarez Díaz             | Ingeniería Mecatrónica    | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20019892 | Rosa María Castillo Díaz            | Ingeniería Industrial     | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20243919 | Rosa María Castillo López           | Ingeniería Industrial     | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20047141 | Rosa María Gutiérrez Morales        | Psicología                | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20103396 | Rosa María Reyes Castillo           | Arquitectura              | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20027010 | Rosa María Sánchez Díaz             | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20061671 | Rosa María Torres Flores            | Derecho                   | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20247215 | Sofía Valentina Castillo Ortiz      | Contaduría Pública        | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20146614 | Sofía Valentina González Jiménez    | Arquitectura              | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20157321 | Sofía Valentina González Ramírez    | Administración de Empresas | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20237489 | Sofía Valentina Martínez Castillo   | Arquitectura              | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20247035 | Sofía Valentina Ruiz López          | Administración de Empresas | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20062279 | Sofía Valentina Sánchez Álvarez     | Ingeniería Industrial     | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20132609 | Sofía Valentina Sánchez Hernández   | Ingeniería Civil          | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20141054 | Valentina Andrea Cruz Cruz          | Derecho                   | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20104087 | Valentina Andrea Gómez Torres       | Diseño Gráfico            | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20183126 | Valentina Andrea Gutiérrez Ortiz    | Ingeniería Industrial     | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20051515 | Valentina Andrea López Jiménez      | Contaduría Pública        | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20104810 | Valentina Andrea Mendoza López      | Ingeniería Industrial     | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20009182 | Valentina Andrea Morales Torres     | Arquitectura              | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20177311 | Valentina Andrea Ramírez Torres     | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20061029 | Valentina Andrea Torres Jiménez     | Psicología                | Femenino   | Sem: 10 | Suavecito pa'bajo

════════════════════════════════════════════════════════════════════════════════════════════════════════════════
TOTAL DE PARTICIPANTES: 530
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


ESTADÍSTICAS GENERALES
════════════════════════════════════════════════════════════════════════════════════════════════════════════════

Participación por Género:
  Femenino: 291 (54.91%)
  Masculino: 239 (45.09%)

Participación por Carrera:
  Administración de Empresas: 68 (12.83%)
  Arquitectura: 59 (11.13%)
  Ingeniería Mecatrónica: 58 (10.94%)
  Ingeniería en Sistemas Computacionales: 55 (10.38%)
  Diseño Gráfico: 54 (10.19%)
  Derecho: 50 (9.43%)
  Ingeniería Industrial: 49 (9.25%)
  Ingeniería Civil: 48 (9.06%)
  Psicología: 46 (8.68%)
  Contaduría Pública: 43 (8.11%)
